"indicatorId","source","date","wardId","value"
13,"Census","2011-03","20719",4252
13,"Census","2011-03","20720",3712
13,"Census","2011-03","20721",6741
13,"Census","2011-03","20722",4662
13,"Census","2011-03","20723",3823
13,"Census","2011-03","20724",5544
13,"Census","2011-03","20725",4855
13,"Census","2011-03","20726",2730
13,"Census","2011-03","20727",4019
13,"Census","2011-03","20728",1632
13,"Census","2011-03","20729",3201
13,"Census","2011-03","20730",3297
13,"Census","2011-03","20731",3642
13,"Census","2011-03","20732",3654
13,"Census","2011-03","20733",6440
13,"Census","2011-03","20734",5045
14,"Census","2011-03","20718",2194
14,"Census","2011-03","20719",3430
14,"Census","2011-03","20720",2276
14,"Census","2011-03","20721",3769
14,"Census","2011-03","20722",3016
14,"Census","2011-03","20723",2061
14,"Census","2011-03","20724",5751
14,"Census","2011-03","20725",2433
14,"Census","2011-03","20726",4330
14,"Census","2011-03","20727",8932
14,"Census","2011-03","20728",7070
14,"Census","2011-03","20729",4504
14,"Census","2011-03","20730",2780
14,"Census","2011-03","20731",2672
14,"Census","2011-03","20732",10450
14,"Census","2011-03","20733",3542
14,"Census","2011-03","20734",2658
15,"Census","2011-03","20718",5887
15,"Census","2011-03","20719",5366
15,"Census","2011-03","20720",5727
15,"Census","2011-03","20721",10638
15,"Census","2011-03","20722",10029
15,"Census","2011-03","20723",5998
15,"Census","2011-03","20724",14205
15,"Census","2011-03","20725",5514
15,"Census","2011-03","20726",8778
15,"Census","2011-03","20727",10334
15,"Census","2011-03","20728",9116
15,"Census","2011-03","20729",15805
15,"Census","2011-03","20730",10922
15,"Census","2011-03","20731",7921
15,"Census","2011-03","20732",8698
15,"Census","2011-03","20733",8783
15,"Census","2011-03","20734",7012
16,"Census","2011-03","20718",7338
16,"Census","2011-03","20719",6716
16,"Census","2011-03","20720",6418
16,"Census","2011-03","20721",7866
16,"Census","2011-03","20722",7976
16,"Census","2011-03","20723",6366
16,"Census","2011-03","20724",7649
16,"Census","2011-03","20725",7150
16,"Census","2011-03","20726",5232
16,"Census","2011-03","20727",6748
16,"Census","2011-03","20728",4319
16,"Census","2011-03","20729",5679
16,"Census","2011-03","20730",5224
16,"Census","2011-03","20731",6666
16,"Census","2011-03","20732",6062
16,"Census","2011-03","20733",9107
16,"Census","2011-03","20734",6820
17,"Census","2011-03","20718",4644
17,"Census","2011-03","20719",3951
17,"Census","2011-03","20720",4088
17,"Census","2011-03","20721",4197
17,"Census","2011-03","20722",5429
17,"Census","2011-03","20723",4719
17,"Census","2011-03","20724",4149
17,"Census","2011-03","20725",4286
17,"Census","2011-03","20726",2924
17,"Census","2011-03","20727",4132
17,"Census","2011-03","20728",2013
17,"Census","2011-03","20729",2678
17,"Census","2011-03","20730",2708
17,"Census","2011-03","20731",4845
17,"Census","2011-03","20732",4359
17,"Census","2011-03","20733",5520
17,"Census","2011-03","20734",3845
29,"Census","2011-03","20718",10504
29,"Census","2011-03","20719",9348
29,"Census","2011-03","20720",9986
29,"Census","2011-03","20721",15313
29,"Census","2011-03","20722",15336
29,"Census","2011-03","20723",10480
29,"Census","2011-03","20724",19036
29,"Census","2011-03","20725",10163
29,"Census","2011-03","20726",12093
29,"Census","2011-03","20727",14724
29,"Census","2011-03","20728",11833
29,"Census","2011-03","20729",17661
29,"Census","2011-03","20730",13249
29,"Census","2011-03","20731",12991
29,"Census","2011-03","20732",14087
29,"Census","2011-03","20733",14767
29,"Census","2011-03","20734",11480
30,"Census","2011-03","20718",1418
30,"Census","2011-03","20719",1166
30,"Census","2011-03","20720",1405
30,"Census","2011-03","20721",1717
30,"Census","2011-03","20722",2228
30,"Census","2011-03","20723",1704
30,"Census","2011-03","20724",1798
30,"Census","2011-03","20725",1474
30,"Census","2011-03","20726",1233
30,"Census","2011-03","20727",1621
30,"Census","2011-03","20728",964
30,"Census","2011-03","20729",1269
30,"Census","2011-03","20730",1211
30,"Census","2011-03","20731",1912
30,"Census","2011-03","20732",1882
30,"Census","2011-03","20733",1995
30,"Census","2011-03","20734",1392
31,"Census","2011-03","20718",1433
31,"Census","2011-03","20719",1449
31,"Census","2011-03","20720",1950
31,"Census","2011-03","20721",4057
31,"Census","2011-03","20722",4126
31,"Census","2011-03","20723",1930
31,"Census","2011-03","20724",6840
31,"Census","2011-03","20725",1459
31,"Census","2011-03","20726",4055
31,"Census","2011-03","20727",3533
31,"Census","2011-03","20728",4613
31,"Census","2011-03","20729",7287
31,"Census","2011-03","20730",4850
31,"Census","2011-03","20731",3471
31,"Census","2011-03","20732",3693
31,"Census","2011-03","20733",3158
31,"Census","2011-03","20734",2883
32,"Census","2011-03","20718",409
32,"Census","2011-03","20719",399
32,"Census","2011-03","20720",396
32,"Census","2011-03","20721",1306
32,"Census","2011-03","20722",427
32,"Census","2011-03","20723",406
32,"Census","2011-03","20724",1211
32,"Census","2011-03","20725",406
32,"Census","2011-03","20726",279
32,"Census","2011-03","20727",306
32,"Census","2011-03","20728",263
32,"Census","2011-03","20729",591
32,"Census","2011-03","20730",699
32,"Census","2011-03","20731",629
32,"Census","2011-03","20732",370
32,"Census","2011-03","20733",1020
32,"Census","2011-03","20734",874
33,"Census","2011-03","20718",3620
33,"Census","2011-03","20719",3113
33,"Census","2011-03","20720",3225
33,"Census","2011-03","20721",4089
33,"Census","2011-03","20722",5064
33,"Census","2011-03","20723",3476
33,"Census","2011-03","20724",5350
33,"Census","2011-03","20725",3312
33,"Census","2011-03","20726",4042
33,"Census","2011-03","20727",4409
33,"Census","2011-03","20728",3780
33,"Census","2011-03","20729",5657
33,"Census","2011-03","20730",4061
33,"Census","2011-03","20731",4117
33,"Census","2011-03","20732",4226
33,"Census","2011-03","20733",4317
33,"Census","2011-03","20734",3144
34,"Census","2011-03","20718",1948
34,"Census","2011-03","20719",1586
34,"Census","2011-03","20720",1484
34,"Census","2011-03","20721",2244
34,"Census","2011-03","20722",1923
34,"Census","2011-03","20723",1586
34,"Census","2011-03","20724",1776
34,"Census","2011-03","20725",1893
34,"Census","2011-03","20726",1275
34,"Census","2011-03","20727",1738
34,"Census","2011-03","20728",687
34,"Census","2011-03","20729",1348
34,"Census","2011-03","20730",1283
34,"Census","2011-03","20731",1362
34,"Census","2011-03","20732",1456
34,"Census","2011-03","20733",2054
